4/1/2024 20:04:18 [Information] Stepper Motor Controller Application Started.
4/1/2024 20:04:18 [Information] Version:2.0.0.36086 (4/1/2024 20:04:18)
4/1/2024 20:04:18 [Information] Opened Serial Port at: COM4, 9600
4/1/2024 20:04:18 [Information] MainWindow loaded
4/1/2024 20:04:31 [Information] Z Axis touch controlled Keypad returned: 48.00
4/1/2024 20:04:37 [Information] X Axis touch controlled Keypad returned: 48.00
4/1/2024 20:04:42 [Information] X Axis touch controlled Keypad returned: 48.00
4/1/2024 20:04:44 [Information] XYAxisRun_Click button clicked:
4/1/2024 20:04:44 [Information] XY Axis Run Event: XY,48.00,400.00,0,48.00,400.00,0,48.00,400.00,0
4/1/2024 20:04:44 [Information] XY Axis myMovementTimer int: 1000 * 12.00 = 12000
4/1/2024 20:04:44 [Information] Current Time: 08:04:44 + 12000 = targetEndTime: 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:44 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
4/1/2024 20:04:45 [Information] Time remaining: 00:00:00 targetEndTime = 08:04:56
