4/1/2024 20:35:15 [Information] Stepper Motor Controller Application Started.
4/1/2024 20:35:15 [Information] Version:2.0.0.37056 (4/1/2024 20:35:15)
4/1/2024 20:35:15 [Information] Opened Serial Port at: COM4, 9600
4/1/2024 20:35:15 [Information] MainWindow loaded
4/1/2024 20:35:22 [Information] Z Axis mouse controlled Keypad returned: 128.00
4/1/2024 20:35:24 [Information] ZAxisRun_Click button clicked:
4/1/2024 20:35:24 [Information] Z Axis MotorMovementSeconds decimal: 128.00 / 4 = 32.00
4/1/2024 20:35:24 [Information] Z Axis myMovementTimer int: 1000 * 32.00 = 32000
4/1/2024 20:35:26 [Information] Z Axis Run Event: Z,0.00,400.00,0,0.00,400.00,0,128.00,400.00,0
4/1/2024 20:35:26 [Information] Current Time: 08:35:26 + 32000 = targetEndTime: 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
4/1/2024 20:35:26 [Information] Time remaining: 00:00:00 targetEndTime = 08:35:58
